artist,title,year
Air Supply,All Out Of Love,1980
Alannah Myles,Black Velvet,1989
Anastacia,Left Outside Alone,2004
Avril Lavigne,I'm With You,2002
Boston,More Than A Feeling,1976
Boy Meets Girl,Waiting For A Star To Fall,1988
The Calling,Wherever You Will Go,2001
Cutting Crew,(I Just) Died In Your Arms,1986
Cyndi Lauper,Time After Time,1983
Duran Duran,Ordinary World,1992
Europe,Carrie,1987
Heart,Alone,1987
Jon Secada,Just Another Day (Without You),1992
Lone Star,Amazed,1999
Marc Cohn,Walking In Memphis,1991
Meat Loaf,I'd Do Anything For Love (But I Won't Do That),1993
Mr Big,To Be With You,1991
Mr Mister,Broken Wings,1985
Mr Mister,Kyrie,1985
Nickelback,How You Remind Me,2001
Nilsson,Without You,1971
Poison,Every Rose Has Its Thorn,1988
Queen,The Show Must Go On,1991
Roxette,It Must Have Been Love,1990
Roxette,Listen To Your Heart,1988
Starship,Nothing's Gonna Stop Us Now,1987
Sugababes,Too Lost In You,2003
Tina Arena,Chains,1994
Toto,Africa,1982
T'Pau,China In Your Hand,1987
